;BTC-USD;hash-rate
01/01/2015;314.2489929199219;318714.726
02/01/2015;315.0320129394531;318714.726
03/01/2015;281.0820007324219;318714.726
04/01/2015;264.19500732421875;320296.4372666667
05/01/2015;274.4739990234375;321878.1485333333
06/01/2015;286.1889953613281;323459.8598
07/01/2015;294.3370056152344;321271.3146
08/01/2015;283.3489990234375;319082.7694
09/01/2015;290.4079895019531;316894.2242
10/01/2015;274.7959899902344;312084.0508
11/01/2015;265.6600036621094;307273.8774
12/01/2015;267.7959899902344;302463.704
13/01/2015;225.86099243164065;300676.3270666667
14/01/2015;178.10299682617188;298888.95013333333
15/01/2015;209.843994140625;297101.5732
16/01/2015;208.0970001220703;300163.7912
17/01/2015;199.25999450683597;303226.00920000003
18/01/2015;210.3390045166016;306288.2272
19/01/2015;214.86099243164065;308279.9218
20/01/2015;211.31500244140625;310271.6164
21/01/2015;226.89700317382807;312263.311
22/01/2015;233.406005859375;309348.85343333334
23/01/2015;232.8789978027344;306434.39586666663
24/01/2015;247.8470001220703;303519.9383
25/01/2015;253.71800231933597;296546.05766666663
26/01/2015;273.4729919433594;289572.17703333334
27/01/2015;263.4750061035156;282598.2964
28/01/2015;233.9149932861328;287372.67706666666
29/01/2015;233.51300048828125;292147.0577333333
30/01/2015;226.4250030517578;296921.4384
31/01/2015;217.4640045166016;303637.35943333333
01/02/2015;226.9720001220703;310353.2804666667
02/02/2015;238.22900390625;317069.2015
03/02/2015;227.26800537109372;316601.6337666667
04/02/2015;226.85299682617188;316134.0660333333
05/02/2015;217.11099243164065;315666.4983
06/02/2015;222.26600646972656;318597.4778333333
07/02/2015;227.7539978027344;321528.45736666664
08/02/2015;223.41200256347656;324459.4369
09/02/2015;220.1100006103516;324900.8895
10/02/2015;219.8390045166016;325342.3421
11/02/2015;219.18499755859372;325783.7947
12/02/2015;221.76400756835935;323424.2354666667
13/02/2015;235.427001953125;321064.67623333336
14/02/2015;257.3210144042969;318705.117
15/02/2015;234.8249969482422;320754.723
16/02/2015;233.84300231933597;322804.329
17/02/2015;243.6100006103516;324853.935
18/02/2015;236.3260040283203;329484.1822
19/02/2015;240.2830047607422;334114.4294
20/02/2015;243.7790069580078;338744.6766
21/02/2015;244.53399658203125;340849.33443333337
22/02/2015;235.9770050048828;342953.99226666667
23/02/2015;238.8919982910156;345058.6501
24/02/2015;238.7350006103516;342807.7194333334
25/02/2015;237.47000122070312;340556.78876666666
26/02/2015;236.42599487304688;338305.8581
27/02/2015;253.8280029296875;337349.3799
28/02/2015;254.26300048828125;336392.9017
01/03/2015;260.2019958496094;335436.4235
02/03/2015;275.6700134277344;339327.40146666666
03/03/2015;281.7019958496094;343218.3794333333
04/03/2015;273.0920104980469;347109.3574
05/03/2015;276.1780090332031;343904.59096666664
06/03/2015;272.7229919433594;340699.82453333336
07/03/2015;276.260986328125;337495.0581
08/03/2015;274.35400390625;337064.21996666666
09/03/2015;289.60699462890625;336633.38183333335
10/03/2015;291.760009765625;336202.5437
11/03/2015;296.3789978027344;339756.92216666666
12/03/2015;294.35400390625;343311.30063333333
