;Date;^GSPC
01/06/2021;737942.0;4202.0400390625
02/06/2021;737943.0;4208.1201171875
03/06/2021;737944.0;4192.85009765625
04/06/2021;737945.0;4229.89013671875
07/06/2021;737948.0;4226.52001953125
08/06/2021;737949.0;4227.259765625
09/06/2021;737950.0;4219.5498046875
10/06/2021;737951.0;4239.18017578125
11/06/2021;737952.0;4247.43994140625
14/06/2021;737955.0;4255.14990234375
15/06/2021;737956.0;4246.58984375
16/06/2021;737957.0;4223.7001953125
17/06/2021;737958.0;4221.85986328125
18/06/2021;737959.0;4166.4501953125
21/06/2021;737962.0;4224.7900390625
22/06/2021;737963.0;4246.43994140625
23/06/2021;737964.0;4241.83984375
24/06/2021;737965.0;4266.490234375
25/06/2021;737966.0;4280.7001953125
28/06/2021;737969.0;4290.60986328125
29/06/2021;737970.0;4291.7998046875
30/06/2021;737971.0;4297.5
01/07/2021;737972.0;4319.93994140625
02/07/2021;737973.0;4352.33984375
06/07/2021;737977.0;4343.5400390625
07/07/2021;737978.0;4358.1298828125
08/07/2021;737979.0;4320.81982421875
09/07/2021;737980.0;4369.5498046875
12/07/2021;737983.0;4384.6298828125
13/07/2021;737984.0;4369.2099609375
14/07/2021;737985.0;4374.2998046875
15/07/2021;737986.0;4360.02978515625
16/07/2021;737987.0;4327.16015625
19/07/2021;737990.0;4258.490234375
20/07/2021;737991.0;4323.06005859375
21/07/2021;737992.0;4358.68994140625
22/07/2021;737993.0;4367.47998046875
23/07/2021;737994.0;4411.7900390625
26/07/2021;737997.0;4422.2998046875
27/07/2021;737998.0;4401.4599609375
28/07/2021;737999.0;4400.64013671875
29/07/2021;738000.0;4419.14990234375
30/07/2021;738001.0;4395.259765625
02/08/2021;738004.0;4387.16015625
03/08/2021;738005.0;4423.14990234375
04/08/2021;738006.0;4402.66015625
05/08/2021;738007.0;4429.10009765625
06/08/2021;738008.0;4436.52001953125
09/08/2021;738011.0;4432.35009765625
10/08/2021;738012.0;4436.75
11/08/2021;738013.0;4442.41015625
12/08/2021;738014.0;4460.830078125
13/08/2021;738015.0;4468.0
16/08/2021;738018.0;4479.7099609375
17/08/2021;738019.0;4448.080078125
18/08/2021;738020.0;4400.27001953125
19/08/2021;738021.0;4405.7998046875
20/08/2021;738022.0;4441.669921875
23/08/2021;738025.0;4479.52978515625
24/08/2021;738026.0;4486.22998046875
25/08/2021;738027.0;4496.18994140625
26/08/2021;738028.0;4470.0
27/08/2021;738029.0;4509.3701171875
30/08/2021;738032.0;4528.7900390625
31/08/2021;738033.0;4522.68017578125
01/09/2021;738034.0;4524.08984375
02/09/2021;738035.0;4536.9501953125
03/09/2021;738036.0;4535.43017578125
07/09/2021;738040.0;4520.02978515625
08/09/2021;738041.0;4514.06982421875
09/09/2021;738042.0;4493.27978515625
10/09/2021;738043.0;4458.580078125
13/09/2021;738046.0;4468.72998046875
14/09/2021;738047.0;4443.0498046875
15/09/2021;738048.0;4480.7001953125
16/09/2021;738049.0;4473.75
17/09/2021;738050.0;4432.990234375
20/09/2021;738053.0;4357.72998046875
21/09/2021;738054.0;4354.18994140625
22/09/2021;738055.0;4395.64013671875
23/09/2021;738056.0;4448.97998046875
24/09/2021;738057.0;4455.47998046875
27/09/2021;738060.0;4443.10986328125
