ID de execução;Data leitura;EPC;Origem;Destino;Situação Atual;Tipo de Movimento;Status aprovação
412316565;06/10/2022 06:46;3035E847FC3AF34000000001;MASSIMA  ALIMENTAÇAO - MATRIZ SP;MASSIMA ALIMENT - LUCY MONTORO SP;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316566;06/10/2022 06:46;3035E847FC3E78C000000001;ICATU SEGUROS - MATRIZ RIO DE JANEIRO;ICATU SEGUROS - RIO DE JANEIRO - SAO PAULO;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316567;06/10/2022 06:46;"001
3035E847FC4065400000";;;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316569;06/10/2022 06:46;3035E847FC3B884000000001;FONTES DESPACHANTES - MATRIZ;fontes despachantes - evora - sp;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316570;06/10/2022 06:46;3035E847FC3B8E4000000001;FONTES DESPACHANTES - MATRIZ;FONTES DESPACHANTES - LIBERTY SEGUROS - SP;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316571;06/10/2022 06:46;3035E847FC3B894000000001;FONTES DESPACHANTES - MATRIZ;FONTES DESPACHANTES - PERSONAL - SP;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316572;06/10/2022 06:46;"E847FC3D450000000001
303";;;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316573;06/10/2022 06:46;"C3BF00000000001
3035E847";;;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316574;06/10/2022 06:46;3035E847FC35A3C000000001;DSV - MATRIZ SANTOS;DSV MATRIZ SANTOS - MERCEDES;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316575;06/10/2022 06:46;3035E847FC3596C000000001;DSV - MATRIZ SANTOS;DSV MATRIZ SANTOS - PROMETEON;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316576;06/10/2022 06:46;3035E847FC3BEC4000000001;DSV - MATRIZ SANTOS;DSV MATRIZ SANTOS - MERCEDES;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316577;06/10/2022 06:46;3035E847FC35A34000000001;DSV - MATRIZ SANTOS;DSV MATRIZ SANTOS - MERCEDES;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316578;06/10/2022 06:46;3035E847FC1EC74000000001;TERLOC - MATRIZ;TERLOC - SANTO ANDRE;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316579;06/10/2022 06:46;3035E847FC1ECE8000000001;CESLOG - MATRIZ;CESLOG - SUZANO;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316580;06/10/2022 06:46;3035E847FC3532C000000001;DAVÓ MATRIZ - LJ 03 - HIPER GUAIANAZES;DAvó - lj 21 - Hiper Itaquaquecetuba;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316581;06/10/2022 06:46;"35e847fc384bc000000001
3";;;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316582;06/10/2022 06:46;3035E847FC35310000000001;DAVÓ MATRIZ - LJ 03 - HIPER GUAIANAZES;DAvó - lj 13 - Hiper Taboao da Serra;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316583;06/10/2022 06:46;3035E847FC352E8000000001;DAVÓ MATRIZ - LJ 03 - HIPER GUAIANAZES;DAvó - lj 12 - Hiper Sao Bernardo do Campo;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316584;06/10/2022 06:46;3035E847FC3528C000000001;DAVÓ MATRIZ - LJ 03 - HIPER GUAIANAZES;DAVÓ - lj 05 - HIPER ITAIM;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316585;06/10/2022 06:46;"2CC000000001
3035E847FC3";;;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316587;06/10/2022 06:46;3035E847FC35294000000001;DAVÓ MATRIZ - LJ 03 - HIPER GUAIANAZES;DAvó - lj 06 - Hiper Suzano;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412316589;06/10/2022 06:46;3035E847FC3534C000000001;DAVÓ MATRIZ - LJ 03 - HIPER GUAIANAZES;DAVÓ - lj 25 - POUPAKI ATACADISTA - PENHA;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412326277;06/10/2022 07:31;3035E847FC1AD6C000000001;EUROBIKE - MATRIZ;EUROBIKE - AUDI SÃO PAULO;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
412329844;06/10/2022 07:46;3035E847FC3164C000000001;SMART FIT - ADM ELUMA - ESCRITORIO REGIONAL SP;SMARTFIT - ADM CEER- ESCRITORIO REGIONAL CE;02 - Em trânsito para filial;COLETA MATRIZ;Aprovação pendente
