,dataset,model,auroc
0,GSE123845_drug_AC+T+Trastuzumab,stc_logit,0.4814814814814814
1,GSE123845_drug_AC+T,stc_logit,0.7936507936507937
2,GSE164458_arm_A_Veliparib_carboplatin_paclitaxel,stc_logit,0.6590909090909092
3,GSE164458_arm_B_carboplatin_paclitaxel,stc_logit,0.44155844155844154
4,GSE164458_arm_C_paclitaxel,stc_logit,0.375
5,GSE194040_Paclitaxel,stc_logit,0.7111111111111111
6,GSE194040_Paclitaxel_ABT888_carboplatin,stc_logit,0.6481481481481481
7,GSE194040_Paclitaxel_AMG386,stc_logit,0.8125
8,GSE194040_Paclitaxel_AMG386_Trastuzumab,stc_logit,1.0
9,GSE194040_Paclitaxel_Ganetespib,stc_logit,0.8285714285714286
10,GSE194040_Paclitaxel_Ganitumab,stc_logit,0.7875
11,GSE194040_Paclitaxel_MK_2206,stc_logit,0.5625
12,GSE194040_Paclitaxel_MK_2206_Trastuzumab,stc_logit,0.75
13,GSE194040_Paclitaxel_Neratinib,stc_logit,0.55
14,GSE194040_Paclitaxel_Pembrolizumab,stc_logit,0.75
15,GSE194040_Paclitaxel_Pertuzumab_Trastuzumab,stc_logit,0.5
16,GSE194040_Paclitaxel_Trastuzumab,stc_logit,0.3
17,GSE194040_T_DM1_Pertuzumab,stc_logit,0.6666666666666666
18,GSE196093_Paclitaxel,stc_logit,0.6666666666666666
19,GSE196093_Paclitaxel_ABT888_carboplatin,stc_logit,0.5750000000000001
20,GSE196093_Paclitaxel_AMG386,stc_logit,0.6770833333333334
21,GSE196093_Paclitaxel_AMG386_Trastuzumab,stc_logit,1.0
22,GSE196093_Paclitaxel_MK_2206,stc_logit,0.40625
23,GSE196093_Paclitaxel_MK_2206_Trastuzumab,stc_logit,0.25
24,GSE196093_Paclitaxel_Neratinib,stc_logit,0.7596153846153847
25,GSE196093_Paclitaxel_Pembrolizumab,stc_logit,0.5416666666666667
26,GSE196093_Paclitaxel_Pertuzumab_Trastuzumab,stc_logit,0.35
27,GSE196093_Paclitaxel_Trastuzumab,stc_logit,0.75
28,GSE196093_T_DM1_Pertuzumab,stc_logit,0.6666666666666667
29,GSE41998_Ixabepilone,stc_logit,0.4117647058823529
30,GSE41998_Paclitaxel,stc_logit,0.6424242424242425
31,GSE42822_FEC_TX,stc_logit,0.5333333333333334
32,GSE42822_FEC_TX_H,stc_logit,0.6666666666666667
33,GSE66305_chemo_lapatinib,stc_logit,0.4
34,GSE66305_chemo_trastuzumab,stc_logit,0.4
35,GSE66305_chemo_trastuzumab_lapatinib,stc_logit,0.4
36,GSE9782-GPL96_Dex,stc_logit,0.4583333333333333
37,GSE9782-GPL96_PS341,stc_logit,0.6297577854671281
38,GSE9782-GPL97_Dex,stc_logit,0.5416666666666666
39,GSE9782-GPL97_PS341,stc_logit,0.629757785467128
