;^GSPC
08/03/2021;3821.35009765625
09/03/2021;3875.43994140625
10/03/2021;3898.81005859375
11/03/2021;3939.340087890625
12/03/2021;3943.340087890625
15/03/2021;3968.93994140625
16/03/2021;3962.7099609375
17/03/2021;3974.1201171875
18/03/2021;3915.4599609375
19/03/2021;3913.10009765625
22/03/2021;3940.590087890625
23/03/2021;3910.52001953125
24/03/2021;3889.139892578125
25/03/2021;3909.52001953125
26/03/2021;3974.5400390625
29/03/2021;3971.090087890625
30/03/2021;3958.550048828125
31/03/2021;3972.889892578125
01/04/2021;4019.8701171875
05/04/2021;4077.909912109375
06/04/2021;4073.93994140625
07/04/2021;4079.949951171875
08/04/2021;4097.169921875
09/04/2021;4128.7998046875
12/04/2021;4127.990234375
13/04/2021;4141.58984375
14/04/2021;4124.66015625
15/04/2021;4170.419921875
16/04/2021;4185.47021484375
19/04/2021;4163.259765625
20/04/2021;4134.93994140625
21/04/2021;4173.419921875
22/04/2021;4134.97998046875
23/04/2021;4180.169921875
26/04/2021;4187.6201171875
27/04/2021;4186.72021484375
28/04/2021;4183.18017578125
29/04/2021;4211.47021484375
30/04/2021;4181.169921875
03/05/2021;4192.66015625
04/05/2021;4164.66015625
05/05/2021;4167.58984375
06/05/2021;4201.6201171875
07/05/2021;4232.60009765625
10/05/2021;4188.43017578125
11/05/2021;4152.10009765625
12/05/2021;4063.0400390625
13/05/2021;4112.5
14/05/2021;4173.85009765625
17/05/2021;4163.2900390625
18/05/2021;4127.830078125
19/05/2021;4115.68017578125
20/05/2021;4159.1201171875
21/05/2021;4155.85986328125
24/05/2021;4197.0498046875
25/05/2021;4188.1298828125
26/05/2021;4195.990234375
27/05/2021;4200.8798828125
28/05/2021;4204.10986328125
01/06/2021;4202.0400390625
02/06/2021;4208.1201171875
03/06/2021;4192.85009765625
04/06/2021;4229.89013671875
07/06/2021;4226.52001953125
08/06/2021;4227.259765625
09/06/2021;4219.5498046875
10/06/2021;4239.18017578125
11/06/2021;4247.43994140625
14/06/2021;4255.14990234375
15/06/2021;4246.58984375
16/06/2021;4223.7001953125
17/06/2021;4221.85986328125
18/06/2021;4166.4501953125
21/06/2021;4224.7900390625
22/06/2021;4246.43994140625
23/06/2021;4241.83984375
24/06/2021;4266.490234375
25/06/2021;4280.7001953125
28/06/2021;4290.60986328125
29/06/2021;4291.7998046875
30/06/2021;4297.5
01/07/2021;4319.93994140625
