[2019-08-15 08:35:55,996]:DEBUG: Parsing bench_run_SPxTS/000002/configuration.xml
[2019-08-15 08:35:56,002]:DEBUG:   --> Preprocess run 1 <--
[2019-08-15 08:35:56,002]:DEBUG:   Remove invalid tags
[2019-08-15 08:35:56,002]:DEBUG:     Available tags: 
[2019-08-15 08:35:56,002]:DEBUG:   Remove invalid tags
[2019-08-15 08:35:56,002]:DEBUG:     Available tags: 
[2019-08-15 08:35:56,004]:DEBUG:   Read $JUBE_INCLUDE_PATH
[2019-08-15 08:35:56,004]:DEBUG:   Preprocess xml tree
[2019-08-15 08:35:56,004]:DEBUG:     path: /usr/local/software/jureca/Stages/2019a/software/JUBE/2.2.2/platform/slurm
[2019-08-15 08:35:56,004]:DEBUG:     path: bench_run_SPxTS/000002
[2019-08-15 08:35:56,005]:DEBUG:   Remove invalid tags
[2019-08-15 08:35:56,005]:DEBUG:     Available tags: 
[2019-08-15 08:35:56,005]:DEBUG:   Preprocess done
[2019-08-15 08:35:56,005]:DEBUG:   Preprocess benchmark xml tree
[2019-08-15 08:35:56,006]:DEBUG:   Parsing <parameterset name="param_set">
[2019-08-15 08:35:56,007]:DEBUG:   Parsing <substituteset name="substitute">
[2019-08-15 08:35:56,007]:DEBUG:   Parsing <fileset name="files">
[2019-08-15 08:35:56,007]:DEBUG:   Parsing <patternset name="pattern">
[2019-08-15 08:35:56,007]:DEBUG:   Parsing <step name="sub_step">
[2019-08-15 08:35:56,007]:DEBUG:   Parsing <analyser name="analyse">
[2019-08-15 08:35:56,008]:DEBUG: Parsing bench_run_SPxTS/000002/workpackages.xml
[2019-08-15 08:35:58,179]:DEBUG: Parsing bench_run_SPxTS/000002/configuration.xml
[2019-08-15 08:35:58,184]:DEBUG:   --> Preprocess run 1 <--
[2019-08-15 08:35:58,184]:DEBUG:   Remove invalid tags
[2019-08-15 08:35:58,184]:DEBUG:     Available tags: 
[2019-08-15 08:35:58,184]:DEBUG:   Remove invalid tags
[2019-08-15 08:35:58,185]:DEBUG:     Available tags: 
[2019-08-15 08:35:58,186]:DEBUG:   Read $JUBE_INCLUDE_PATH
[2019-08-15 08:35:58,186]:DEBUG:   Preprocess xml tree
[2019-08-15 08:35:58,187]:DEBUG:     path: /usr/local/software/jureca/Stages/2019a/software/JUBE/2.2.2/platform/slurm
[2019-08-15 08:35:58,187]:DEBUG:     path: bench_run_SPxTS/000002
[2019-08-15 08:35:58,187]:DEBUG:   Remove invalid tags
[2019-08-15 08:35:58,187]:DEBUG:     Available tags: 
[2019-08-15 08:35:58,187]:DEBUG:   Preprocess done
[2019-08-15 08:35:58,188]:DEBUG:   Preprocess benchmark xml tree
[2019-08-15 08:35:58,188]:DEBUG:   Parsing <parameterset name="param_set">
[2019-08-15 08:35:58,189]:DEBUG:   Parsing <substituteset name="substitute">
[2019-08-15 08:35:58,189]:DEBUG:   Parsing <fileset name="files">
[2019-08-15 08:35:58,189]:DEBUG:   Parsing <patternset name="pattern">
[2019-08-15 08:35:58,189]:DEBUG:   Parsing <step name="sub_step">
[2019-08-15 08:35:58,190]:DEBUG:   Parsing <analyser name="analyse">
[2019-08-15 08:35:58,190]:DEBUG: Parsing bench_run_SPxTS/000002/workpackages.xml
[2019-08-15 08:36:00,378]:DEBUG: Parsing bench_run_SPxTS/000002/configuration.xml
[2019-08-15 08:36:00,382]:DEBUG:   --> Preprocess run 1 <--
[2019-08-15 08:36:00,383]:DEBUG:   Remove invalid tags
[2019-08-15 08:36:00,383]:DEBUG:     Available tags: 
[2019-08-15 08:36:00,383]:DEBUG:   Remove invalid tags
[2019-08-15 08:36:00,383]:DEBUG:     Available tags: 
[2019-08-15 08:36:00,385]:DEBUG:   Read $JUBE_INCLUDE_PATH
[2019-08-15 08:36:00,385]:DEBUG:   Preprocess xml tree
[2019-08-15 08:36:00,385]:DEBUG:     path: /usr/local/software/jureca/Stages/2019a/software/JUBE/2.2.2/platform/slurm
[2019-08-15 08:36:00,385]:DEBUG:     path: bench_run_SPxTS/000002
[2019-08-15 08:36:00,385]:DEBUG:   Remove invalid tags
[2019-08-15 08:36:00,386]:DEBUG:     Available tags: 
[2019-08-15 08:36:00,386]:DEBUG:   Preprocess done
[2019-08-15 08:36:00,386]:DEBUG:   Preprocess benchmark xml tree
[2019-08-15 08:36:00,387]:DEBUG:   Parsing <parameterset name="param_set">
[2019-08-15 08:36:00,387]:DEBUG:   Parsing <substituteset name="substitute">
[2019-08-15 08:36:00,388]:DEBUG:   Parsing <fileset name="files">
[2019-08-15 08:36:00,388]:DEBUG:   Parsing <patternset name="pattern">
[2019-08-15 08:36:00,388]:DEBUG:   Parsing <step name="sub_step">
[2019-08-15 08:36:00,392]:DEBUG:   Parsing <analyser name="analyse">
[2019-08-15 08:36:00,392]:DEBUG: Parsing bench_run_SPxTS/000002/workpackages.xml
[2019-08-15 08:36:02,727]:DEBUG: Parsing bench_run_SPxTS/000002/configuration.xml
[2019-08-15 08:36:02,732]:DEBUG:   --> Preprocess run 1 <--
[2019-08-15 08:36:02,732]:DEBUG:   Remove invalid tags
[2019-08-15 08:36:02,732]:DEBUG:     Available tags: 
[2019-08-15 08:36:02,732]:DEBUG:   Remove invalid tags
[2019-08-15 08:36:02,733]:DEBUG:     Available tags: 
[2019-08-15 08:36:02,734]:DEBUG:   Read $JUBE_INCLUDE_PATH
[2019-08-15 08:36:02,734]:DEBUG:   Preprocess xml tree
[2019-08-15 08:36:02,734]:DEBUG:     path: /usr/local/software/jureca/Stages/2019a/software/JUBE/2.2.2/platform/slurm
[2019-08-15 08:36:02,735]:DEBUG:     path: bench_run_SPxTS/000002
[2019-08-15 08:36:02,735]:DEBUG:   Remove invalid tags
[2019-08-15 08:36:02,735]:DEBUG:     Available tags: 
[2019-08-15 08:36:02,735]:DEBUG:   Preprocess done
[2019-08-15 08:36:02,736]:DEBUG:   Preprocess benchmark xml tree
[2019-08-15 08:36:02,736]:DEBUG:   Parsing <parameterset name="param_set">
[2019-08-15 08:36:02,737]:DEBUG:   Parsing <substituteset name="substitute">
[2019-08-15 08:36:02,737]:DEBUG:   Parsing <fileset name="files">
[2019-08-15 08:36:02,737]:DEBUG:   Parsing <patternset name="pattern">
[2019-08-15 08:36:02,737]:DEBUG:   Parsing <step name="sub_step">
[2019-08-15 08:36:02,738]:DEBUG:   Parsing <analyser name="analyse">
[2019-08-15 08:36:02,738]:DEBUG: Parsing bench_run_SPxTS/000002/workpackages.xml
[2019-08-15 08:36:04,909]:DEBUG: Parsing bench_run_SPxTS/000002/configuration.xml
[2019-08-15 08:36:04,915]:DEBUG:   --> Preprocess run 1 <--
[2019-08-15 08:36:04,915]:DEBUG:   Remove invalid tags
[2019-08-15 08:36:04,915]:DEBUG:     Available tags: 
[2019-08-15 08:36:04,915]:DEBUG:   Remove invalid tags
[2019-08-15 08:36:04,915]:DEBUG:     Available tags: 
[2019-08-15 08:36:04,917]:DEBUG:   Read $JUBE_INCLUDE_PATH
[2019-08-15 08:36:04,917]:DEBUG:   Preprocess xml tree
[2019-08-15 08:36:04,917]:DEBUG:     path: /usr/local/software/jureca/Stages/2019a/software/JUBE/2.2.2/platform/slurm
[2019-08-15 08:36:04,917]:DEBUG:     path: bench_run_SPxTS/000002
