;Date;^GSPC
08/03/2021;737857;3821.35009765625
09/03/2021;737858;3875.43994140625
10/03/2021;737859;3898.81005859375
11/03/2021;737860;3939.340087890625
12/03/2021;737861;3943.340087890625
15/03/2021;737864;3968.93994140625
16/03/2021;737865;3962.7099609375
17/03/2021;737866;3974.1201171875
18/03/2021;737867;3915.4599609375
19/03/2021;737868;3913.10009765625
22/03/2021;737871;3940.590087890625
23/03/2021;737872;3910.52001953125
24/03/2021;737873;3889.139892578125
25/03/2021;737874;3909.52001953125
26/03/2021;737875;3974.5400390625
29/03/2021;737878;3971.090087890625
30/03/2021;737879;3958.550048828125
31/03/2021;737880;3972.889892578125
01/04/2021;737881;4019.8701171875
05/04/2021;737885;4077.909912109375
06/04/2021;737886;4073.93994140625
07/04/2021;737887;4079.949951171875
08/04/2021;737888;4097.169921875
09/04/2021;737889;4128.7998046875
12/04/2021;737892;4127.990234375
13/04/2021;737893;4141.58984375
14/04/2021;737894;4124.66015625
15/04/2021;737895;4170.419921875
16/04/2021;737896;4185.47021484375
19/04/2021;737899;4163.259765625
20/04/2021;737900;4134.93994140625
21/04/2021;737901;4173.419921875
22/04/2021;737902;4134.97998046875
23/04/2021;737903;4180.169921875
26/04/2021;737906;4187.6201171875
27/04/2021;737907;4186.72021484375
28/04/2021;737908;4183.18017578125
29/04/2021;737909;4211.47021484375
30/04/2021;737910;4181.169921875
03/05/2021;737913;4192.66015625
04/05/2021;737914;4164.66015625
05/05/2021;737915;4167.58984375
06/05/2021;737916;4201.6201171875
07/05/2021;737917;4232.60009765625
10/05/2021;737920;4188.43017578125
11/05/2021;737921;4152.10009765625
12/05/2021;737922;4063.0400390625
13/05/2021;737923;4112.5
14/05/2021;737924;4173.85009765625
17/05/2021;737927;4163.2900390625
18/05/2021;737928;4127.830078125
19/05/2021;737929;4115.68017578125
20/05/2021;737930;4159.1201171875
21/05/2021;737931;4155.85986328125
24/05/2021;737934;4197.0498046875
25/05/2021;737935;4188.1298828125
26/05/2021;737936;4195.990234375
27/05/2021;737937;4200.8798828125
28/05/2021;737938;4204.10986328125
01/06/2021;737942;4202.0400390625
02/06/2021;737943;4208.1201171875
03/06/2021;737944;4192.85009765625
04/06/2021;737945;4229.89013671875
07/06/2021;737948;4226.52001953125
08/06/2021;737949;4227.259765625
09/06/2021;737950;4219.5498046875
10/06/2021;737951;4239.18017578125
11/06/2021;737952;4247.43994140625
