ID de execução;Data leitura;EPC;Origem;Destino;Situação Atual;Tipo de Movimento;Status aprovação
412198910;05/10/2022 16:22;3035E847FC354C0000000001;TRACK FIELD - matriz;TRACK FIELD - CRISTIANO VIANA;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198911;05/10/2022 16:22;303430D3FC57E44000001F29;MEIA DE SEDA;MEIA DE SEDA - OUTLET;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198913;05/10/2022 16:22;3035E847FC3A2F8000000001;BR PROPERTIES - BRPR - MATRIZ;BR PROPERTIES - BRPR - JK - SP;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198914;05/10/2022 16:22;3035E847FC1D584000000001;INBRANDS - MATRIZ;RICHARDS RC112 - SHOPPING JK;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198916;05/10/2022 16:22;3035E847FC1C364000000001;INBRANDS - MATRIZ;TH - JK IGUATEMI;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198919;05/10/2022 16:22;3035E847FC1CB04000000001;INBRANDS - MATRIZ;ELLUS - JK;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198922;05/10/2022 16:22;3035E847FC37230000000001;PONTAL VERMELHO - matriz;pontal vermelho - lj 36 pinheiros;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198924;05/10/2022 16:22;3035E847FC38394000000001;SANUTRIN MATRIZ;SANUTRIN - LUMIAR;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198926;05/10/2022 16:22;3035E847FC37BEC000000001;PONTAL VERMELHO - matriz;PONTAL vermelho - lj 01 PINHEIROS;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198928;05/10/2022 16:22;3035E847FC35404000000001;TRACK FIELD - matriz;TRACK FIELD - SHOP. IGUATEMI faria lima;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198933;05/10/2022 16:22;3035E847FC3C304000000001;LELLO - MATRIZ SP;LELLO - PINHEIROS;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198936;05/10/2022 16:22;3035E847FC3B16C000000001;MAMAE PRESENTES - CASA LOJISTA - MATRIZ;MAMAE PRESENTES - PINHEIROS;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198937;05/10/2022 16:22;3035E847FC2063C000000001;LLINEA - MATRIZ;LNA	ESKALA;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198938;05/10/2022 16:22;303430D3FC57E44000001BF9;;;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198939;05/10/2022 16:22;3035E847FC3380C000000001;LEO MADEIRAS - MATRIZ;leo madeiras - Paes Leme;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198941;05/10/2022 16:22;3035E847FC30588000000001;SMART FIT - ADM ELUMA - ESCRITORIO REGIONAL SP;SMART FIT  -  ADM SP SPCVOL2 - Gomes de Carvalho;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198942;05/10/2022 16:22;3035E847FC1C524000000001;INBRANDS - MATRIZ;VR VILA OLIMPIA;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198943;05/10/2022 16:22;3035E847FC1D460000000001;INBRANDS - MATRIZ;RICHARDS RC125 - Vila Olímpia;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198944;05/10/2022 16:22;3035E847FC36960000000001;GRUPO SOMA - MATRIZ botafogo;grupo soma - CRIS BARROS IGUATEMI SP;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198945;05/10/2022 16:22;3035E847FC1CA2C000000001;INBRANDS - MATRIZ;SALINAS - S10 Iguatemi;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198946;05/10/2022 16:22;3035E847FC1C88C000000001;INBRANDS - MATRIZ;VR IGUATEMI SP;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198947;05/10/2022 16:22;3035E847FC1C9E4000000001;INBRANDS - MATRIZ;SALINAS - S19 JK;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198949;05/10/2022 16:22;3035E847FC1C830000000001;INBRANDS - MATRIZ;VR JK IGUATEMI;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198951;05/10/2022 16:22;3035E847FC3554C000000001;TRACK FIELD - matriz;TRACK FIELD - JK;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198952;05/10/2022 16:22;3035E847FC36A60000000001;JOGe - Matriz;JOGE - LJ 01 SHOP. IGUATEMI SP - PISO FARIA LIMA;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
412198954;05/10/2022 16:22;3035E847FC36A5C000000001;JOGe - Matriz;JOGE - LJ 01 SHOP. IGUATEMI SP - PISO FARIA LIMA;05 - Em trânsito para matriz;DEVOLUÇÃO MATRIZ;Aprovação pendente
